UIC,API,lon_wgs84,lat_wgs84,injectdate,suminjbbls,UIC_type,cmpl_top,cmpl_bot,wtd_ft
000109778,47536617,-103.2793,31.4390476,12/01/2023,301177.427734375,2,6947,7132,7261
000109778,47536617,-103.2793,31.4390476,01/01/2024,297727.6083984375,2,6947,7132,7261
000109778,47536617,-103.2793,31.4390476,02/01/2024,323332.93359375,2,6947,7132,7261
000109778,47536617,-103.2793,31.4390476,03/01/2024,61732.20276625479,2,6947,7132,7261
000116096,47538334,-103.27487752,31.44260098,12/01/2023,724648.0,1,6540,8200,8304
000116096,47538334,-103.27487752,31.44260098,01/01/2024,655818.0,1,6540,8200,8304
000116096,47538334,-103.27487752,31.44260098,02/01/2024,715039.0,1,6540,8200,8304
000116096,47538334,-103.27487752,31.44260098,03/01/2024,56593.61020719284,1,6540,8200,8304
000119372,47538536,-103.292128,31.431788,12/01/2023,597137.0,1,7420,8305,8420
000119372,47538536,-103.292128,31.431788,02/01/2024,530345.0,1,7420,8305,8420
000119372,47538536,-103.292128,31.431788,03/01/2024,48801.97850254245,1,7420,8305,8420
000115022,47530673,-103.29132834,31.4245144,12/01/2023,571649.25,2,6500,8280,17860
000115022,47530673,-103.29132834,31.4245144,01/01/2024,570694.2265625,2,6500,8280,17860
000115022,47530673,-103.29132834,31.4245144,02/01/2024,528313.552734375,2,6500,8280,17860
000115022,47530673,-103.29132834,31.4245144,03/01/2024,54789.891167985894,2,6500,8280,17860
000112641,47537525,-103.3910146,31.49489689,12/01/2023,380461.736328125,1,6510,7100,7175
000112641,47537525,-103.3910146,31.49489689,01/01/2024,394344.7477294922,1,6510,7100,7175
000112641,47537525,-103.3910146,31.49489689,02/01/2024,458700.96484375,1,6510,7100,7175
000112641,47537525,-103.3910146,31.49489689,03/01/2024,61975.3220434929,1,6510,7100,7175
000116514,47537674,-103.307794,31.435014,12/01/2023,734358.529296875,1,6510,8200,8400
000116514,47537674,-103.307794,31.435014,01/01/2024,727812.587890625,1,6510,8200,8400
000116514,47537674,-103.307794,31.435014,02/01/2024,578581.6298828125,1,6510,8200,8400
000116514,47537674,-103.307794,31.435014,03/01/2024,56882.05486690449,1,6510,8200,8400
000107804,47536733,-103.3829554,31.49836815,12/01/2023,570314.666015625,1,6168,7070,7200
000107804,47536733,-103.3829554,31.49836815,01/01/2024,555016.021484375,1,6168,7070,7200
000107804,47536733,-103.3829554,31.49836815,02/01/2024,531552.560546875,1,6168,7070,7200
000107804,47536733,-103.3829554,31.49836815,03/01/2024,61864.15209922713,1,6168,7070,7200
000088857,47533126,-103.14654487,31.47532784,01/01/2024,3498.0,2,5044,5360,7050
000088857,47533126,-103.14654487,31.47532784,02/01/2024,2888.0,2,5044,5360,7050
000088857,47533126,-103.14654487,31.47532784,03/01/2024,3191.0,2,5044,5360,7050
000088857,47533126,-103.14654487,31.47532784,04/01/2024,3446.0,2,5044,5360,7050
000088857,47533126,-103.14654487,31.47532784,05/01/2024,3981.0,2,5044,5360,7050
000088857,47533126,-103.14654487,31.47532784,06/01/2024,5986.0,2,5044,5360,7050
000088857,47533126,-103.14654487,31.47532784,07/01/2024,5938.0,2,5044,5360,7050
000088857,47533126,-103.14654487,31.47532784,08/01/2024,5905.0,2,5044,5360,7050
000119218,47537995,-103.375037,31.511811,05/01/2024,47076.0,2,5233,8000,8000
000119218,47537995,-103.375037,31.511811,06/01/2024,42197.0,2,5233,8000,8000
000119218,47537995,-103.375037,31.511811,07/01/2024,85306.0,2,5233,8000,8000
000119218,47537995,-103.375037,31.511811,08/01/2024,89036.0,2,5233,8000,8000
000119218,47537995,-103.375037,31.511811,09/01/2024,589770.0,2,5233,8000,8000
000119218,47537995,-103.375037,31.511811,10/01/2024,358970.0,2,5233,8000,8000
000119218,47537995,-103.375037,31.511811,11/01/2024,84858.0,2,5233,8000,8000
000105860,38933540,-103.24690317,31.37105298,09/01/2024,17657.0,1,6522,6576,6775
000105860,38933540,-103.24690317,31.37105298,10/01/2024,18430.0,1,6522,6576,6775
000105860,38933540,-103.24690317,31.37105298,11/01/2024,16907.0,1,6522,6576,6775
000116564,47537526,-103.224701,31.421739,09/01/2024,134779.0,2,5152,6888,7190
000116564,47537526,-103.224701,31.421739,10/01/2024,172518.0,2,5152,6888,7190
000116564,47537526,-103.224701,31.421739,11/01/2024,163125.0,2,5152,6888,7190
000119166,47537869,-103.211394,31.430698,09/01/2024,67367.0,2,5100,6996,7171
000119166,47537869,-103.211394,31.430698,10/01/2024,80265.0,2,5100,6996,7171
000119166,47537869,-103.211394,31.430698,11/01/2024,172743.0,2,5100,6996,7171
000116731,38937535,-103.216496,31.375638,10/01/2024,19910.0,2,5707,7937,8225
000116731,38937535,-103.216496,31.375638,11/01/2024,46823.0,2,5707,7937,8225
000106115,47536206,-103.19653247,31.4453813,09/01/2024,52603.0,2,5522,6562,6625
000106115,47536206,-103.19653247,31.4453813,10/01/2024,10063.0,2,5522,6562,6625
000106115,47536206,-103.19653247,31.4453813,11/01/2024,10353.0,2,5522,6562,6625
